language,Audio_transcript,File,Cohort,Sub_Cohort,Duration_mins,Duration_Cat,Gender_Type,Region,Age_Group,Overlap,Gap,Conv_Density,S1_State,S2_State,Total_Gap_s,Total_Overlap_s,provider,model,num_segments,real_time_factor,processing_time_s,WER,CER,MER,WIL,WIP,S,S_%,D,D_%,I,I_%,lwWER,toWER,OIWER,script_penalty,SemanticSim,LevenshteinSim,PIER,CS_Recall,CS_Precision,CS_F1
urdu,1NaiFnSubh8bk4fJCsfUvDY6VE7IgmMyM,Urdu_171_2311,Urdu,All,23.18,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Delhi,Delhi,9,0,speechmatics,speechmatics-batch,65,0.05x,57.664,0.49360,0.413,0.4914,0.5961,0.4039,604,13.1,1653,35.8,21,0.5,0.4936,0.4936,0.4881,0,0.8244,0.587,1,0,1,0
nepali,1AyUXWBJE-VlRaOWNYQuYTp8sTn70jzPz,Nepali_59_1434,Nepali,All,14.57,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Nepal,Nepal,2,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,256,0.33x,284.11,0.49270,0.3147,0.4653,0.6325,0.3675,1113,24.7,841,18.7,265,5.9,0.4943,0.4927,0.4988,-0.0017,0.9907,0.6853,0.859,0.1695,0.8333,0.2817
Spoken Hindi,1iI6MLm5qb8IooFYEInFNVzBhNBDr36KL,Hinglish_641_3313,Spoken Hindi,All,33.22,Very Long (>30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Chandigarh,Chandigarh,5,0,aws_transcribe,aws-transcribe,109,n/a,0,0.49260,0.3401,0.3804,0.5012,0.4988,1692,19.4,35,0.4,2580,29.5,0.4904,0.4926,0.5957,0.0022,0.9833,0.6599,1,0,1,0
chattishgarhi,1pXWwPFh4UsoTeLyXF_7IH20yZH8ZQPC1,Audio134,Chattishgarhi,All,15.18,Long (15-30 min),Same Gender,Unknown,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,,,5,0,gladia,gladia-v2,373,0.04x,35.388,0.49190,0.3746,0.4706,0.6444,0.3556,1209,26.3,848,18.4,208,4.5,0.4919,0.4919,0.4889,0,0.6985,0.6254,0.9091,0.1111,0.0057,0.0109
Spoken Tamil,12araGIUryFuNtJcQG0lys7kMh2WzOoGI,Tamil_422_1507,Spoken Tamil,All,15.12,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,3,0,assemblyai,universal,31,0.23x,209.393,0.49170,0.434,0.47,0.5591,0.4409,579,9.7,2089,34.9,277,4.6,0.4909,0.4917,0.4912,0.0009,0.988,0.566,0.9176,0.1111,1,0.2
Spoken Tamil,1HjvMh4M-bil2jcrHf35uMmtee_zRQy49,Tamilish_238_1705,Spoken Tamil,All,17.08,Long (15-30 min),Same Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Tamil Nadu,Tamil Nadu,18,0,assemblyai,universal,112,0.24x,245.868,0.49150,0.4167,0.4656,0.5929,0.4071,836,16.2,1411,27.4,287,5.6,0.4923,0.4915,0.4983,-0.0008,0.9268,0.5833,0.5889,0.494,0.967,0.6539
bhojpuri,1T1V3UxFOEAm5yyXMEgQYa_YXLpkDO-7f,Bhojpuri_21_2508,Bhojpuri,All,25.13,Long (15-30 min),Same Gender,Cross State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Bihar,UP,7,0,aws_transcribe,aws-transcribe,98,n/a,0,0.49060,0.3533,0.4535,0.6214,0.3786,1550,25,983,15.9,507,8.2,0.4906,0.4906,0.5042,0,0.8278,0.6467,1,0,0,0
marathi,1xdJOxVOCPsQiNLatHMx5SpY_u1GKGEW5,MARATHI_176_1338,Marathi,All,13.63,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Maharashtra,Maharashtra,7,0,openai_gpt4o,gpt-4o-transcribe,137,0.26x,209.306,0.49010,0.3319,0.4821,0.6359,0.3641,927,21.8,1084,25.5,71,1.7,0.4912,0.4901,0.4913,-0.0011,0.9923,0.6681,0,1,1,1
marwari,135VEYcGZUIrVZeYcKg-VgEuAivk7xS3x,Marwadi_25_1556,Marwari,All,10.98,Medium (5-15 min),Same Gender,Same State,Mixed Age Group,No Overlap,High (>20s),Rapid Exchange,Rajasthan,Rajasthan,76,0,aws_transcribe,aws-transcribe,103,n/a,0,0.49010,0.3919,0.4786,0.604,0.396,484,16.2,908,30.4,72,2.4,0.4901,0.4901,0.4901,0,0.855,0.6081,0,1,1,1
assamese,1202QpKzhNQPRZ1bg1346D1ErR4L-Gv8U,Assamese_46_3255,Gap,No Gap,24.7,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,No Gap,Monologue-like,,,0,0,gemini_pro,gemini-2.5-pro,253,0.25x,369.998,0.49000,0.3297,0.4805,0.7103,0.2897,4242,41.9,514,5.1,200,2,0.5045,0.4895,0.5089,-0.0145,0.9985,0.6703,0.2714,0.8,0.6093,0.6917
Spoken Hindi,1KYMS2D0oNTNyeTnNXJ_eWuY_lxMXz72J,Hinglish_477_2949,Spoken Hindi,All,29.82,Long (15-30 min),Same Gender,Cross State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Uttar Pradesh,Chhattisgarh,16,0,aws_transcribe,aws-transcribe,166,n/a,0,0.48980,0.3367,0.3778,0.4954,0.5046,1412,18.6,53,0.7,2246,29.6,0.4898,0.4898,0.5875,0,0.5958,0.6633,1,0,1,0
Spoken Tamil,1V54ybjFe0GbGgKw3KocEGzKRqv-MuK3b,Tamilish_530_1939,Spoken Tamil,All,19.65,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,High (>20s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,26,0,aws_transcribe,aws-transcribe,122,n/a,0,0.48950,0.3277,0.3769,0.4883,0.5117,1076,17.2,117,1.9,1869,29.9,0.4836,0.4895,0.5303,0.0059,0.8997,0.6723,1,0,1,0
chattishgarhi,1vx-Re1oomeQHw1mrY5jiOdej8ECSWx9h,Chattishgarhi_152_2026,Chattishgarhi,All,13.5,Medium (5-15 min),Same Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Chhattisgarh,Chhattisgarh,13,0,aws_transcribe,aws-transcribe,56,n/a,0,0.48750,0.394,0.4783,0.6057,0.3943,570,16.6,1036,30.2,66,1.9,0.4875,0.4875,0.487,0,0.6913,0.606,1,0,1,0
chattishgarhi,1vo7LkSq_hB4FZyHg_36ela00q1s_WMXU,Audio162,Chattishgarhi,All,15.15,Long (15-30 min),Same Gender,Unknown,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,,,7,0,openai_gpt4o,gpt-4o-transcribe,277,0.31x,285.587,0.48720,0.3499,0.4573,0.6122,0.3878,899,21.8,837,20.3,269,6.5,0.4872,0.4872,0.4909,0,0.972,0.6501,0.9576,0.0816,0.4,0.1356
Indian Bengali,1IOXHbgyoi0Xg07Bq4zeMWZaCTwJPyL1y,Bengali (Non Kolkata)_216_2140,Bengali (Non Kolkata),All,16.25,Long (15-30 min),Same Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,West Bengal,West Bengal,1,0,sarvam_v2,saarika:v2.5,261,n/a,0,0.48630,0.3809,0.36,0.4416,0.5584,490,12.3,49,1.2,1396,35.1,0.4974,0.4861,0.5383,-0.0111,0.9981,0.6773,1,0,1,0
Spoken Tamil,1yRc3HStkRVwjdJQxzupiSyCo4co8xyeq,Tamil_82_1947,Spoken Tamil,All,19.78,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,5,0,gladia,gladia-v2,470,0.05x,56.332,0.48570,0.3828,0.4554,0.6064,0.3936,1545,21,1541,20.9,491,6.7,0.4856,0.4857,0.4861,0.0002,0.9253,0.6172,0.7637,0.3169,0.4583,0.3747
Spoken Hindi,1iI6MLm5qb8IooFYEInFNVzBhNBDr36KL,Hinglish_641_3313,Spoken Hindi,All,33.22,Very Long (>30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Chandigarh,Chandigarh,5,0,soniox,stt-async-v4,51,0.12x,225.413,0.48500,0.3359,0.3741,0.4918,0.5082,1639,18.7,11,0.1,2590,29.6,0.4843,0.485,0.5892,0.0007,0.9771,0.6641,0.9986,0.0026,1,0.0052
marathi,186wsfRfzUq3WLO_OQzyyR6GJY9hzX-e_,MARATHI_387_1848,Marathi,All,18.8,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Maharashtra,Maharashtra,13,0,openai_gpt4o,gpt-4o-transcribe,240,0.29x,322.344,0.48480,0.3268,0.4708,0.626,0.374,1350,21.9,1452,23.6,183,3,0.485,0.4848,0.4848,-0.0002,0.984,0.6732,0,1,1,1
odia,12KX6sXNdpMzcXJ69EaKlzkH2589O6y5D,Odia_66_1652,Odia,All,16.87,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Odisha,Odisha,2,0,aws_transcribe,aws-transcribe,73,n/a,0,0.48450,0.3408,0.3802,0.5066,0.4934,801,20,40,1,1098,27.4,0.527,0.4845,0.6975,-0.0425,0.7759,0.6592,1,0,1,0
bhojpuri,1tGjgv0AbWOcnkxVC0mWSnbu2ZWH8fNsq,Bhojpuri_6_1324,Bhojpuri,All,13.42,Medium (5-15 min),Same Gender,Cross State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Bihar,UP,16,0,aws_transcribe,aws-transcribe,61,n/a,0,0.48420,0.343,0.4502,0.6197,0.3803,854,25.3,528,15.6,255,7.5,0.4842,0.4842,0.4943,0,0.8738,0.657,1,0,1,0
marathi,1mMCb3VA1Tvwk1A07CKwOtlRjpyhlQIux,MARATHI_432_1514,Marathi,All,15.23,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Maharashtra,Maharashtra,11,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,158,0.27x,247.733,0.48340,0.3181,0.4727,0.634,0.366,1140,23.3,1117,22.8,111,2.3,0.4835,0.4834,0.4836,-0.0001,0.917,0.6819,0,1,1,1
Spoken Hindi,1-bGY_D9-lO5QI-tJV1SkL26tf-QGTc9O,Hinglish_615_4011,Spoken Hindi,All,40.18,Very Long (>30 min),Mixed Gender,Cross State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Rajasthan,Madhya Pradesh,9,0,openai_gpt4o,gpt-4o-transcribe,358,0.28x,623.273,0.48250,0.3718,0.4229,0.559,0.441,1902,18.4,1632,15.8,1458,14.1,0.4821,0.4825,0.5293,0.0004,0.8765,0.6282,0.7098,0.4137,0.9571,0.5777
haryanvi,1-FZYfMmfNl-7yhzVMnIgMq20qsRXJ47t,Haryanvi_43_9447,Haryanvi,All,32.67,Very Long (>30 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,High (>20s),Rapid Exchange,Haryana,Haryana,141,0,aws_transcribe,aws-transcribe,371,n/a,0,0.48190,0.4088,0.4592,0.6008,0.3992,1603,19,2046,24.2,418,5,0.4816,0.4819,0.4852,0.0004,0.5427,0.5912,1,0,1,0
marwari,11-OOMNjK9AFhvz70jnUacbgXVBKYsiZA,Marwadi_17_2322,Marwari,All,16.1,Long (15-30 min),Same Gender,Same State,Mixed Age Group,No Overlap,High (>20s),Rapid Exchange,Rajasthan,Rajasthan,122,0,aws_transcribe,aws-transcribe,173,n/a,0,0.48190,0.364,0.4739,0.6115,0.3885,680,18.5,1031,28,62,1.7,0.4819,0.4819,0.4819,0,0.9953,0.636,0,1,1,1
Spoken Hindi,1kj-s_3uWnFWCRadlOzEMm93hPiwM6RcD,Hinglish_902_2630,Spoken Hindi,All,26.5,Long (15-30 min),Mixed Gender,Cross State,Mixed Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Uttar Pradesh,Haryana,19,0,assemblyai,universal,165,0.42x,599.197,0.48170,0.364,0.3961,0.5404,0.4596,1490,22.3,287,4.3,1444,21.6,0.4802,0.4817,0.5574,0.0015,0.4808,0.636,1,0,1,0
Spoken Tamil,1kJseMILtf9MoFxbp8CPTpuRAzO81rCDQ,Tamilish_549_2254,Spoken Tamil,All,22.9,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,High (>20s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,38,0,openai_gpt4o,gpt-4o-transcribe,640,0.39x,482.253,0.48170,0.4018,0.4622,0.5889,0.4111,1087,16.1,1872,27.8,283,4.2,0.4818,0.4817,0.488,-0.0001,0.9455,0.5982,0.4927,0.6049,0.9545,0.7406
Spoken Hindi,1iI6MLm5qb8IooFYEInFNVzBhNBDr36KL,Hinglish_641_3313,Spoken Hindi,All,33.22,Very Long (>30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Low (1-5s),Monologue-like,Chandigarh,Chandigarh,5,0,speechmatics,speechmatics-batch,51,0.07x,137.245,0.48060,0.349,0.3809,0.5102,0.4898,1774,20.3,140,1.6,2288,26.2,0.4802,0.4806,0.5782,0.0005,0.9745,0.651,1,0,1,0
Spoken Hindi,1KYMS2D0oNTNyeTnNXJ_eWuY_lxMXz72J,Hinglish_477_2949,Spoken Hindi,All,29.82,Long (15-30 min),Same Gender,Cross State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Uttar Pradesh,Chhattisgarh,16,0,speechmatics,speechmatics-batch,124,0.05x,75.954,0.47990,0.347,0.3784,0.502,0.498,1451,19.2,151,2,2034,26.8,0.4795,0.4799,0.573,0.0004,0.5806,0.653,1,0,1,0
Spoken Tamil,19iyZ6RWGLxRRwbxXk-eMCvgN4_TR0KrU,Tamil_361_1900,Overlap,Has Overlap,19,Long (15-30 min),Mixed Gender,Same State,Same Age Group,Has Overlap,Low (1-5s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,3,1,aws_transcribe,aws-transcribe,76,n/a,0,0.47970,0.2763,0.4628,0.6654,0.3346,2665,33.3,878,11,293,3.7,0.4801,0.4797,0.4859,-0.0003,0.9851,0.7237,1,0,1,0
urdu,1pklFyly8maXgto_xfcikXQrkgOC1oOJV,Urdu_187_2508,Urdu,All,25.13,Long (15-30 min),Mixed Gender,Cross State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Delhi,Karnataka,18,0,speechmatics,speechmatics-batch,95,0.07x,91.963,0.47930,0.3804,0.4767,0.5839,0.4161,682,13.4,1735,34,28,0.5,0.4793,0.4793,0.4779,0,0.3182,0.6196,1,0,1,0
Spoken Tamil,19iyZ6RWGLxRRwbxXk-eMCvgN4_TR0KrU,Tamil_361_1900,Overlap,Has Overlap,19,Long (15-30 min),Mixed Gender,Same State,Same Age Group,Has Overlap,Low (1-5s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,3,1,gemini_flash,gemini-2.5-flash,350,0.12x,131.693,0.47900,0.2833,0.4539,0.6528,0.3472,2598,32.5,790,9.9,442,5.5,0.4788,0.479,0.4849,0.0002,0.9848,0.7167,0.9692,0.033,0.75,0.0632
chattishgarhi,1j3uA8HssomIjTaMc94JqcC9zudw83paC,Audio160,Chattishgarhi,All,15.2,Long (15-30 min),Same Gender,Unknown,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,,,14,0,openai_gpt4o,gpt-4o-transcribe,181,0.25x,227.085,0.47840,0.3415,0.4518,0.598,0.402,761,19.9,844,22.1,226,5.9,0.4784,0.4784,0.4843,0,0.9279,0.6585,0.9733,0.0625,0.2857,0.1026
Indian Bengali,1vNtNm6xB6hh_r-2Co0HTsKy5HuXJ-v3S,Bengali (Kolkata)_346_1858,Bengali,All,18.97,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,11,0,sarvam_v2,saarika:v2.5,155,n/a,0,0.47690,0.3218,0.3682,0.4803,0.5197,862,17.5,35,0.7,1455,29.5,0.4899,0.4765,0.5728,-0.013,0.7047,0.6782,1,0,1,0
Spoken Tamil,12NNm1O1pOrkKxHhWbXcTQ4YtDIKXthzE,Tamilish_296_1941,Spoken Tamil,All,19.68,Long (15-30 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Rapid Exchange,Tamil Nadu,Tamil Nadu,17,0,openai_gpt4o,gpt-4o-transcribe,507,0.37x,403.895,0.47640,0.3746,0.4534,0.5768,0.4232,858,15.4,1510,27.2,281,5.1,0.4782,0.4764,0.4756,-0.0018,0.993,0.6254,0.4486,0.6518,0.9241,0.7644
kannada,1lea_veNc5tMlrgr0-UFQfEFtMCRFVgbV,Kannada_332_2359,Kannada,All,23.98,Long (15-30 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Karnataka,Karnataka,11,0,aws_transcribe,aws-transcribe,165,n/a,0,0.47610,0.3235,0.372,0.4889,0.5111,1134,18,101,1.6,1759,28,0.4663,0.4761,0.5405,0.0097,0.9902,0.6765,1,0,1,0
chattishgarhi,1aFHh7CVqAN6Bpbsigwikx6WrnEX9oK6m,Audio154,Chattishgarhi,All,15.18,Long (15-30 min),Same Gender,Unknown,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,,,10,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,117,0.19x,174.294,0.47540,0.3684,0.4525,0.5909,0.4091,699,18.3,924,24.2,193,5.1,0.4754,0.4754,0.474,0,0.9783,0.6316,0.9651,0.0625,0.1429,0.087
bhojpuri,1tseGQ03R77tQYxKim8VdnxwyZa4MOb2z,Audio234,Bhojpuri,All,14.37,Medium (5-15 min),Same Gender,Unknown,Same Age Group,No Overlap,Medium (5-20s),Monologue-like,,,8,0,aws_transcribe,aws-transcribe,47,n/a,0,0.47520,0.3813,0.4654,0.59,0.41,628,16,1156,29.4,83,2.1,0.4752,0.4752,0.4757,0,0.9345,0.6187,1,0,1,0
Spoken Hindi,1-bGY_D9-lO5QI-tJV1SkL26tf-QGTc9O,Hinglish_615_4011,Spoken Hindi,All,40.18,Very Long (>30 min),Mixed Gender,Cross State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Rajasthan,Madhya Pradesh,9,0,gladia,gladia-v2,793,0.03x,66.405,0.47510,0.3652,0.4256,0.5853,0.4147,2419,23.4,1294,12.5,1203,11.6,0.4751,0.4751,0.5222,0,0.9384,0.6348,0.6644,0.4681,0.7922,0.5885
Spoken Tamil,1V54ybjFe0GbGgKw3KocEGzKRqv-MuK3b,Tamilish_530_1939,Spoken Tamil,All,19.65,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,High (>20s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,26,0,soniox,stt-async-v4,101,0.15x,168.568,0.47410,0.3199,0.3647,0.4703,0.5297,1013,16.2,76,1.2,1877,30,0.469,0.4741,0.5202,0.0051,0.9008,0.681,1,0,1,0
bhojpuri,1tseGQ03R77tQYxKim8VdnxwyZa4MOb2z,Audio234,Bhojpuri,All,14.37,Medium (5-15 min),Same Gender,Unknown,Same Age Group,No Overlap,Medium (5-20s),Monologue-like,,,8,0,gladia,gladia-v2,309,0.04x,33.756,0.47390,0.2824,0.4465,0.6243,0.3757,1060,27,561,14.3,241,6.1,0.4737,0.4739,0.4739,0.0003,0.9609,0.7176,1,0,0,0
bhojpuri,1Ytg_63yB6JP19v8QW-_wMQqgIpBpVT8l,Audio255,Bhojpuri,All,10.38,Medium (5-15 min),Same Gender,Unknown,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,,,7,0,aws_transcribe,aws-transcribe,42,n/a,0,0.47310,0.3516,0.4573,0.5949,0.4051,561,18.2,790,25.6,106,3.4,0.4731,0.4731,0.4735,0,0.5551,0.6484,1,0,1,0
Spoken Hindi,1-bGY_D9-lO5QI-tJV1SkL26tf-QGTc9O,Hinglish_615_4011,Spoken Hindi,All,40.18,Very Long (>30 min),Mixed Gender,Cross State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Rajasthan,Madhya Pradesh,9,0,openai_gpt4o_mini,gpt-4o-mini-transcribe,340,0.27x,604.892,0.47120,0.3695,0.4174,0.5482,0.4518,1769,17.1,1771,17.1,1336,12.9,0.4709,0.4712,0.5134,0.0004,0.8765,0.6305,0.6944,0.4322,0.9589,0.5958
Indian Bengali,1vNtNm6xB6hh_r-2Co0HTsKy5HuXJ-v3S,Bengali (Kolkata)_346_1858,Bengali,All,18.97,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,11,0,sarvam_v3,saaras:v3,156,n/a,0,0.47080,0.3179,0.3636,0.474,0.526,849,17.2,19,0.4,1454,29.5,0.4842,0.4706,0.5671,-0.0134,0.704,0.6821,1,0,1,0
kannada,1lea_veNc5tMlrgr0-UFQfEFtMCRFVgbV,Kannada_332_2359,Kannada,All,23.98,Long (15-30 min),Mixed Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Karnataka,Karnataka,11,0,soniox,stt-async-v4,136,0.12x,166.78,0.47050,0.319,0.3662,0.4789,0.5211,1090,17.3,78,1.2,1791,28.5,0.4625,0.4705,0.5365,0.008,0.9902,0.681,1,0,1,0
marathi,1mMCb3VA1Tvwk1A07CKwOtlRjpyhlQIux,MARATHI_432_1514,Marathi,All,15.23,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Maharashtra,Maharashtra,11,0,openai_gpt4o,gpt-4o-transcribe,165,0.32x,294.92,0.47050,0.2963,0.4596,0.6282,0.3718,1206,24.6,983,20.1,116,2.4,0.4706,0.4705,0.4707,-0.0001,0.9003,0.7037,0,1,1,1
Spoken Hindi,1KYMS2D0oNTNyeTnNXJ_eWuY_lxMXz72J,Hinglish_477_2949,Spoken Hindi,All,29.82,Long (15-30 min),Same Gender,Cross State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Uttar Pradesh,Chhattisgarh,16,0,soniox,stt-async-v4,134,0.15x,248.501,0.47030,0.3254,0.3634,0.4749,0.5251,1324,17.5,10,0.1,2229,29.4,0.4699,0.4703,0.5658,0.0004,0.6322,0.6746,0.9845,0.0208,0.9286,0.0406
Indian Bengali,1b-mMOS0_HP3TUnXbpnC6UV7rUwJ-UAPe,Bengali (Non Kolkata)_272_2053,Bengali (Non Kolkata),All,15.67,Long (15-30 min),Same Gender,Same State,Mixed Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,20,0,sarvam_v2,saarika:v2.5,412,n/a,0,0.47020,0.3441,0.3839,0.5207,0.4793,813,20.9,142,3.6,876,22.5,0.4745,0.4702,0.5281,-0.0043,0.7289,0.6594,0.9491,0.0362,1,0.0699
nepali,1r6PxpEfPymM6Ntltl33Dmklx_dIhkey6,Nepali_147_1248,Nepali,All,12.8,Medium (5-15 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Nepal,Nepal,7,0,openai_gpt4o,gpt-4o-transcribe,292,0.31x,216.813,0.46990,0.2654,0.4421,0.6257,0.3743,1133,28.3,494,12.4,251,6.3,0.4707,0.4699,0.4758,-0.0009,0.9944,0.7346,0.9848,0.0172,1,0.0339
assamese,1VtTx8jWgWq9JC8znWmXfOmdkXCG4RZ4H,Assamese_9_4128,Assamese,All,20.73,Long (15-30 min),Unknown,Unknown,Unknown,No Overlap,Low (1-5s),Monologue-like,,,3,0,aws_transcribe,aws-transcribe,72,n/a,0,0.46880,0.2704,0.4609,0.6523,0.3477,1501,29.9,763,15.2,86,1.7,0.5045,0.3744,0.5059,-0.0357,0.996,0.7296,0,1,1,1
Indian Bengali,1vNtNm6xB6hh_r-2Co0HTsKy5HuXJ-v3S,Bengali (Kolkata)_346_1858,Bengali,All,18.97,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,11,0,gemini_pro,gemini-2.5-pro,223,0.25x,259.637,0.46840,0.3154,0.361,0.4691,0.5309,829,16.8,14,0.3,1467,29.7,0.4815,0.4674,0.5639,-0.0132,0.7059,0.6846,0.988,0.0233,1,0.0455
Indian Bengali,1vNtNm6xB6hh_r-2Co0HTsKy5HuXJ-v3S,Bengali (Kolkata)_346_1858,Bengali,All,18.97,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,11,0,aws_transcribe,aws-transcribe,116,n/a,0,0.46740,0.3168,0.3599,0.465,0.535,797,16.2,36,0.7,1472,29.8,0.4828,0.4674,0.5607,-0.0154,0.7093,0.6832,1,0,1,0
urdu,1i390phcXkYZME_NxgbDXQMOBsybeAISa,Urdu_275_1924,Urdu,All,19.4,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Uttar Pradesh,Uttar Pradesh,9,0,speechmatics,speechmatics-batch,45,0.07x,72.659,0.46700,0.3216,0.4638,0.5954,0.4046,695,17.4,1145,28.6,28,0.7,0.467,0.467,0.4671,0,0.6193,0.6784,1,0,1,0
Indian Bengali,1vNtNm6xB6hh_r-2Co0HTsKy5HuXJ-v3S,Bengali (Kolkata)_346_1858,Bengali,All,18.97,Long (15-30 min),Mixed Gender,Same State,Same Age Group,No Overlap,Medium (5-20s),Rapid Exchange,West Bengal,West Bengal,11,0,soniox,stt-async-v4,160,0.18x,192.171,0.46670,0.3148,0.3607,0.4701,0.5299,839,17,13,0.3,1450,29.4,0.4811,0.4655,0.5619,-0.0144,0.7072,0.6852,0.985,0.0203,1,0.0399
Spoken Hindi,1kj-s_3uWnFWCRadlOzEMm93hPiwM6RcD,Hinglish_902_2630,Spoken Hindi,All,26.5,Long (15-30 min),Mixed Gender,Cross State,Mixed Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,Uttar Pradesh,Haryana,19,0,aws_transcribe,aws-transcribe,196,n/a,0,0.46670,0.3222,0.3683,0.4898,0.5102,1258,18.8,77,1.2,1786,26.7,0.4658,0.4667,0.554,0.0009,0.3213,0.6778,1,0,0,0
Spoken Tamil,19iyZ6RWGLxRRwbxXk-eMCvgN4_TR0KrU,Tamil_361_1900,Overlap,Has Overlap,19,Long (15-30 min),Mixed Gender,Same State,Same Age Group,Has Overlap,Low (1-5s),Balanced Dialogue,Tamil Nadu,Tamil Nadu,3,1,speechmatics,speechmatics-batch,51,0.04x,43.04,0.46560,0.2723,0.4539,0.6522,0.3478,2530,31.6,986,12.3,207,2.6,0.4664,0.4656,0.4712,-0.0008,0.9849,0.7277,0.8,0.2527,0.561,0.3485
chattishgarhi,1aFHh7CVqAN6Bpbsigwikx6WrnEX9oK6m,Audio154,Chattishgarhi,All,15.18,Long (15-30 min),Same Gender,Unknown,Same Age Group,No Overlap,Medium (5-20s),Balanced Dialogue,,,10,0,openai_gpt4o,gpt-4o-transcribe,137,0.19x,170.827,0.46540,0.3429,0.4396,0.5798,0.4202,710,18.6,843,22.1,225,5.9,0.4654,0.4654,0.4673,0,0.9783,0.6571,1,0,0,0
